,mac_addr,slot_id,rl_sinr,rl_mod_code_pt,databus_timestamp,year,month,day
87,00:a0:bc:87:86:c2,52,5.69,rl_qpsk_3_8,1533745795,2018,8,8
88,00:a0:bc:87:86:c2,18,3.3,rl_qpsk_3_8,1533745795,2018,8,8
89,00:a0:bc:87:86:c2,21,3.93,rl_qpsk_3_8,1533745795,2018,8,8
90,00:a0:bc:87:86:c2,52,5.69,rl_qpsk_3_8,1533745855,2018,8,8
91,00:a0:bc:87:86:c2,21,3.93,rl_qpsk_3_8,1533745855,2018,8,8
92,00:a0:bc:87:86:c2,18,4.67,rl_qpsk_3_8,1533745855,2018,8,8
93,00:a0:bc:87:86:c2,18,4.58,rl_qpsk_3_8,1533745915,2018,8,8
94,00:a0:bc:87:86:c2,21,3.93,rl_qpsk_3_8,1533745915,2018,8,8
95,00:a0:bc:87:86:c2,52,5.69,rl_qpsk_3_8,1533745915,2018,8,8
96,00:a0:bc:87:86:c2,18,4.19,rl_qpsk_3_8,1533745975,2018,8,8
97,00:a0:bc:87:86:c2,21,3.93,rl_qpsk_3_8,1533745975,2018,8,8
98,00:a0:bc:87:86:c2,52,5.69,rl_qpsk_3_8,1533745975,2018,8,8
99,00:a0:bc:87:86:c2,52,5.69,rl_qpsk_3_8,1533746035,2018,8,8
100,00:a0:bc:87:86:c2,18,5.04,rl_qpsk_3_8,1533746035,2018,8,8
101,00:a0:bc:87:86:c2,21,3.93,rl_qpsk_3_8,1533746035,2018,8,8
102,00:a0:bc:87:86:c2,52,5.69,rl_qpsk_3_8,1533746095,2018,8,8
103,00:a0:bc:87:86:c2,18,4.33,rl_qpsk_3_8,1533746095,2018,8,8
104,00:a0:bc:87:86:c2,21,4.78,rl_qpsk_3_8,1533746095,2018,8,8
105,00:a0:bc:87:86:c2,21,4.19,rl_qpsk_3_8,1533746155,2018,8,8
106,00:a0:bc:87:86:c2,52,5.69,rl_qpsk_3_8,1533746155,2018,8,8
107,00:a0:bc:87:86:c2,18,4.68,rl_qpsk_3_8,1533746155,2018,8,8
108,00:a0:bc:87:86:c2,21,4.04,rl_qpsk_3_8,1533746215,2018,8,8
109,00:a0:bc:87:86:c2,52,4.55,rl_qpsk_3_8,1533746215,2018,8,8
110,00:a0:bc:87:86:c2,18,2.73,rl_qpsk_3_8,1533746215,2018,8,8
111,00:a0:bc:87:86:c2,21,4.32,rl_qpsk_3_8,1533746275,2018,8,8
112,00:a0:bc:87:86:c2,18,2.75,rl_qpsk_3_8,1533746275,2018,8,8
113,00:a0:bc:87:86:c2,52,4.37,rl_qpsk_3_8,1533746275,2018,8,8
114,00:a0:bc:87:86:c2,18,2.75,rl_qpsk_3_8,1533746335,2018,8,8
115,00:a0:bc:87:86:c2,21,4.32,rl_qpsk_3_8,1533746335,2018,8,8
116,00:a0:bc:87:86:c2,52,4.2,rl_qpsk_3_8,1533746335,2018,8,8
117,00:a0:bc:87:86:c2,18,2.75,rl_qpsk_3_8,1533746395,2018,8,8
118,00:a0:bc:87:86:c2,52,5.24,rl_qpsk_3_8,1533746395,2018,8,8
119,00:a0:bc:87:86:c2,21,4.32,rl_qpsk_3_8,1533746395,2018,8,8
120,00:a0:bc:87:86:c2,21,4.32,rl_qpsk_3_8,1533746455,2018,8,8
121,00:a0:bc:87:86:c2,18,2.75,rl_qpsk_3_8,1533746455,2018,8,8
122,00:a0:bc:87:86:c2,52,5.48,rl_qpsk_3_8,1533746455,2018,8,8
123,00:a0:bc:87:86:c2,52,5.63,rl_qpsk_3_8,1533746515,2018,8,8
124,00:a0:bc:87:86:c2,18,4.08,rl_qpsk_3_8,1533746515,2018,8,8
125,00:a0:bc:87:86:c2,21,4.32,rl_qpsk_3_8,1533746515,2018,8,8
126,00:a0:bc:87:86:c2,21,4.32,rl_qpsk_3_8,1533746575,2018,8,8
127,00:a0:bc:87:86:c2,18,5.48,rl_qpsk_3_8,1533746575,2018,8,8
128,00:a0:bc:87:86:c2,52,4.79,rl_qpsk_3_8,1533746575,2018,8,8
129,00:a0:bc:87:86:c2,52,4.79,rl_qpsk_3_8,1533746635,2018,8,8
130,00:a0:bc:87:86:c2,21,4.32,rl_qpsk_3_8,1533746635,2018,8,8
131,00:a0:bc:87:86:c2,18,3.3,rl_qpsk_3_8,1533746635,2018,8,8
132,00:a0:bc:87:86:c2,18,3.69,rl_qpsk_3_8,1533746695,2018,8,8
133,00:a0:bc:87:86:c2,52,4.79,rl_qpsk_3_8,1533746695,2018,8,8
134,00:a0:bc:87:86:c2,21,4.35,rl_qpsk_3_8,1533746695,2018,8,8
135,00:a0:bc:87:86:c2,21,4.35,rl_qpsk_3_8,1533746755,2018,8,8
136,00:a0:bc:87:86:c2,52,4.46,rl_qpsk_3_8,1533746755,2018,8,8
137,00:a0:bc:87:86:c2,18,3.8,rl_qpsk_3_8,1533746755,2018,8,8
138,00:a0:bc:87:86:c2,21,3.72,rl_qpsk_3_8,1533746815,2018,8,8
139,00:a0:bc:87:86:c2,52,5.32,rl_qpsk_3_8,1533746815,2018,8,8
140,00:a0:bc:87:86:c2,18,5.03,rl_qpsk_3_8,1533746815,2018,8,8
141,00:a0:bc:87:86:c2,52,4.88,rl_qpsk_3_8,1533746875,2018,8,8
142,00:a0:bc:87:86:c2,18,4.0,rl_qpsk_3_8,1533746875,2018,8,8
143,00:a0:bc:87:86:c2,21,5.14,rl_qpsk_3_8,1533746875,2018,8,8
144,00:a0:bc:87:86:c2,52,4.83,rl_qpsk_3_8,1533746935,2018,8,8
145,00:a0:bc:87:86:c2,18,4.07,rl_qpsk_3_8,1533746935,2018,8,8
146,00:a0:bc:87:86:c2,21,5.85,rl_qpsk_3_8,1533746935,2018,8,8
147,00:a0:bc:87:86:c2,52,5.13,rl_qpsk_3_8,1533746995,2018,8,8
148,00:a0:bc:87:86:c2,18,4.63,rl_qpsk_3_8,1533746995,2018,8,8
149,00:a0:bc:87:86:c2,21,5.85,rl_qpsk_3_8,1533746995,2018,8,8
150,00:a0:bc:87:86:c2,52,3.84,rl_qpsk_3_8,1533747055,2018,8,8
151,00:a0:bc:87:86:c2,18,4.54,rl_qpsk_3_8,1533747055,2018,8,8
152,00:a0:bc:87:86:c2,21,5.72,rl_qpsk_3_8,1533747055,2018,8,8
153,00:a0:bc:87:86:c2,4,0.0,rl_bpsk_1_2,1533747078,2018,8,8
154,00:a0:bc:87:86:c2,26,0.0,rl_bpsk_1_2,1533747078,2018,8,8
155,00:a0:bc:87:86:c2,36,0.0,rl_bpsk_1_2,1533747078,2018,8,8
156,00:a0:bc:87:86:c2,36,4.46,rl_qpsk_3_8,1533747138,2018,8,8
157,00:a0:bc:87:86:c2,4,5.09,rl_qpsk_3_8,1533747138,2018,8,8
158,00:a0:bc:87:86:c2,26,4.48,rl_qpsk_3_8,1533747138,2018,8,8
159,00:a0:bc:87:86:c2,36,4.55,rl_qpsk_3_8,1533747198,2018,8,8
160,00:a0:bc:87:86:c2,26,4.92,rl_qpsk_3_8,1533747198,2018,8,8
161,00:a0:bc:87:86:c2,4,4.39,rl_qpsk_3_8,1533747198,2018,8,8
162,00:a0:bc:87:86:c2,36,4.11,rl_qpsk_3_8,1533747258,2018,8,8
163,00:a0:bc:87:86:c2,26,4.28,rl_qpsk_3_8,1533747258,2018,8,8
164,00:a0:bc:87:86:c2,4,4.91,rl_qpsk_3_8,1533747258,2018,8,8
165,00:a0:bc:87:86:c2,26,4.77,rl_qpsk_3_8,1533747318,2018,8,8
166,00:a0:bc:87:86:c2,36,4.51,rl_qpsk_3_8,1533747318,2018,8,8
167,00:a0:bc:87:86:c2,4,4.72,rl_qpsk_3_8,1533747318,2018,8,8
168,00:a0:bc:87:86:c2,26,4.31,rl_qpsk_3_8,1533747378,2018,8,8
169,00:a0:bc:87:86:c2,4,3.88,rl_qpsk_3_8,1533747378,2018,8,8
170,00:a0:bc:87:86:c2,36,5.0,rl_qpsk_3_8,1533747378,2018,8,8
171,00:a0:bc:87:86:c2,26,3.63,rl_qpsk_3_8,1533747438,2018,8,8
172,00:a0:bc:87:86:c2,36,4.32,rl_qpsk_3_8,1533747438,2018,8,8
173,00:a0:bc:87:86:c2,4,4.15,rl_qpsk_3_8,1533747438,2018,8,8
174,00:a0:bc:87:86:c2,36,3.88,rl_qpsk_3_8,1533747498,2018,8,8
175,00:a0:bc:87:86:c2,4,5.03,rl_qpsk_3_8,1533747498,2018,8,8
176,00:a0:bc:87:86:c2,26,4.62,rl_qpsk_3_8,1533747498,2018,8,8
177,00:a0:bc:87:86:c2,4,3.62,rl_qpsk_3_8,1533747558,2018,8,8
178,00:a0:bc:87:86:c2,36,4.86,rl_qpsk_3_8,1533747558,2018,8,8
179,00:a0:bc:87:86:c2,26,4.18,rl_qpsk_3_8,1533747558,2018,8,8
180,00:a0:bc:87:86:c2,4,4.08,rl_qpsk_3_8,1533747618,2018,8,8
181,00:a0:bc:87:86:c2,26,4.43,rl_qpsk_3_8,1533747618,2018,8,8
182,00:a0:bc:87:86:c2,36,4.58,rl_qpsk_3_8,1533747618,2018,8,8
183,00:a0:bc:87:86:c2,4,4.24,rl_qpsk_3_8,1533747678,2018,8,8
184,00:a0:bc:87:86:c2,26,4.56,rl_qpsk_3_8,1533747678,2018,8,8
185,00:a0:bc:87:86:c2,36,4.51,rl_qpsk_3_8,1533747678,2018,8,8
186,00:a0:bc:87:86:c2,4,4.64,rl_qpsk_3_8,1533747738,2018,8,8
187,00:a0:bc:87:86:c2,26,3.93,rl_qpsk_3_8,1533747738,2018,8,8
188,00:a0:bc:87:86:c2,36,5.23,rl_qpsk_3_8,1533747738,2018,8,8
189,00:a0:bc:87:86:c2,36,5.35,rl_qpsk_3_8,1533747799,2018,8,8
190,00:a0:bc:87:86:c2,4,4.56,rl_qpsk_3_8,1533747799,2018,8,8
191,00:a0:bc:87:86:c2,26,3.94,rl_qpsk_3_8,1533747799,2018,8,8
192,00:a0:bc:87:86:c2,26,4.35,rl_qpsk_3_8,1533747859,2018,8,8
193,00:a0:bc:87:86:c2,4,5.51,rl_qpsk_3_8,1533747859,2018,8,8
194,00:a0:bc:87:86:c2,36,4.82,rl_qpsk_3_8,1533747859,2018,8,8
195,00:a0:bc:87:86:c2,26,4.22,rl_qpsk_3_8,1533747920,2018,8,8
196,00:a0:bc:87:86:c2,36,4.96,rl_qpsk_3_8,1533747920,2018,8,8
197,00:a0:bc:87:86:c2,4,5.09,rl_qpsk_3_8,1533747920,2018,8,8
198,00:a0:bc:87:86:c2,26,4.55,rl_qpsk_3_8,1533747981,2018,8,8
199,00:a0:bc:87:86:c2,4,4.35,rl_qpsk_3_8,1533747981,2018,8,8
200,00:a0:bc:87:86:c2,36,4.07,rl_qpsk_3_8,1533747981,2018,8,8
201,00:a0:bc:87:86:c2,36,4.67,rl_qpsk_3_8,1533748041,2018,8,8
202,00:a0:bc:87:86:c2,26,4.99,rl_qpsk_3_8,1533748041,2018,8,8
203,00:a0:bc:87:86:c2,4,4.55,rl_qpsk_3_8,1533748041,2018,8,8
204,00:a0:bc:87:86:c2,4,0.0,rl_bpsk_1_2,1533748070,2018,8,8
205,00:a0:bc:87:86:c2,21,0.0,rl_bpsk_1_2,1533748070,2018,8,8
206,00:a0:bc:87:86:c2,21,4.09,rl_qpsk_3_8,1533748130,2018,8,8
207,00:a0:bc:87:86:c2,4,4.71,rl_qpsk_3_8,1533748130,2018,8,8
208,00:a0:bc:87:86:c2,21,4.3,rl_qpsk_3_8,1533748190,2018,8,8
209,00:a0:bc:87:86:c2,4,4.64,rl_qpsk_3_8,1533748190,2018,8,8
